name,date,price
AAPL,1980-01-01,1506.6342423296808
AAPL,1980-01-02,1144.658698054983
AAPL,1980-01-03,1594.1742882022897
AAPL,1980-01-04,1135.0386603211357
AAPL,1980-01-05,2949.4508469612742
AAPL,1980-01-06,1208.104120716652
AAPL,1980-01-07,765.575322992593
AAPL,1980-01-08,2769.693620522619
AAPL,1980-01-09,607.0562564792594
AAPL,1980-01-10,870.3535209959339
AAPL,1980-01-11,1492.7877635435643
AAPL,1980-01-12,3060.6444677946665
AAPL,1980-01-13,3254.7473376304583
AAPL,1980-01-14,3201.978268500004
AAPL,1980-01-15,3145.8614440400843
AAPL,1980-01-16,630.3932086828611
AAPL,1980-01-17,886.1978429514746
AAPL,1980-01-18,3318.9571825283692
AAPL,1980-01-19,1712.3704834545929
AAPL,1980-01-20,2652.785894741028
AAPL,1980-01-21,1927.0539691063104
AAPL,1980-01-22,1987.4761318095684
AAPL,1980-01-23,1250.0051853723874
AAPL,1980-01-24,1171.9970992194585
AAPL,1980-01-25,2052.5453763033793
AAPL,1980-01-26,1826.4531389171175
AAPL,1980-01-27,2129.7462749428137
AAPL,1980-01-28,248.92652730651625
AAPL,1980-01-29,957.7288848232483
AAPL,1980-01-30,226.12304971140446
AAPL,1980-01-31,1492.639420454401
AAPL,1980-02-01,1398.689549973271
AAPL,1980-02-02,3313.2157040957427
AAPL,1980-02-03,1823.2738789595433
AAPL,1980-02-04,842.8842497942355
AAPL,1980-02-05,1504.8566354288428
AAPL,1980-02-06,2862.7103558157364
AAPL,1980-02-07,2113.021942751404
AAPL,1980-02-08,2436.7784250487043
AAPL,1980-02-09,1373.7830011307553
AAPL,1980-02-10,2189.9710624781724
AAPL,1980-02-11,1916.593749764163
AAPL,1980-02-12,409.3902679477472
AAPL,1980-02-13,1560.7987923538249
AAPL,1980-02-14,143.29938198054543
AAPL,1980-02-15,3011.666823183741
AAPL,1980-02-16,442.0919133016236
AAPL,1980-02-17,2428.6902873684826
AAPL,1980-02-18,3183.779981438195
AAPL,1980-02-19,263.7259870520537
AAPL,1980-02-20,384.8596974952816
AAPL,1980-02-21,2205.454387382088
AAPL,1980-02-22,797.8171868609286
AAPL,1980-02-23,586.516199039379
AAPL,1980-02-24,1058.1647846427225
AAPL,1980-02-25,1059.7628944681044
AAPL,1980-02-26,85.25549164232545
AAPL,1980-02-27,2968.9363136287748
AAPL,1980-02-28,2013.3639522707012
AAPL,1980-02-29,2320.433787480094
AAPL,1980-03-01,2767.959187800717
AAPL,1980-03-02,2856.132810548979
AAPL,1980-03-03,3076.3977954803136
AAPL,1980-03-04,2621.8979429593037
AAPL,1980-03-05,3321.4197551805905
AAPL,1980-03-06,2344.2792794982165
AAPL,1980-03-07,691.9978077014094
AAPL,1980-03-08,2145.5758523796026
AAPL,1980-03-09,2235.5460190934273
AAPL,1980-03-10,1225.7833550202517
AAPL,1980-03-11,2331.0456488390682
AAPL,1980-03-12,1058.0974856594933
AAPL,1980-03-13,286.6081287600049
AAPL,1980-03-14,951.8859934170846
AAPL,1980-03-15,1053.7373986534512
AAPL,1980-03-16,2864.4774736590516
AAPL,1980-03-17,1470.4731105811272
AAPL,1980-03-18,3027.368724185899
AAPL,1980-03-19,1754.166068702529
AAPL,1980-03-20,1923.0180334338042
AAPL,1980-03-21,3380.9964916019235
AAPL,1980-03-22,46.054572998089796
AAPL,1980-03-23,1047.9691126090086
AAPL,1980-03-24,902.6093207594253
AAPL,1980-03-25,3145.319291247636
AAPL,1980-03-26,2615.2441301429208
AAPL,1980-03-27,2993.2201289410345
AAPL,1980-03-28,154.19412507060818
AAPL,1980-03-29,2838.3160175994976
AAPL,1980-03-30,877.2142236257965
AAPL,1980-03-31,3316.3903446094673
AAPL,1980-04-01,1852.882139180343
AAPL,1980-04-02,3067.6700422652834
AAPL,1980-04-03,2261.062908426067
AAPL,1980-04-04,1583.9280794873964
AAPL,1980-04-05,282.7058671341827
AAPL,1980-04-06,1997.5188472701989
AAPL,1980-04-07,1529.0610645842364
AAPL,1980-04-08,2674.2953877154705
AAPL,1980-04-09,945.7548487936648
AAPL,1980-04-10,863.3470366911033
AAPL,1980-04-11,1757.4938651322152
AAPL,1980-04-12,481.8724981568269
AAPL,1980-04-13,961.6228836179093
AAPL,1980-04-14,1480.8337440568187
AAPL,1980-04-15,2408.051803115581
AAPL,1980-04-16,2907.8817875042864
AAPL,1980-04-17,776.0840571029528
AAPL,1980-04-18,2538.2545186678503
AAPL,1980-04-19,1829.9909265544738
AAPL,1980-04-20,821.5603155117559
AAPL,1980-04-21,901.3833640339012
AAPL,1980-04-22,2741.4410262459564
AAPL,1980-04-23,1055.1319217191926
AAPL,1980-04-24,1994.0121148830617
AAPL,1980-04-25,2573.934352615493
AAPL,1980-04-26,2717.435694655072
AAPL,1980-04-27,1957.951185062336
AAPL,1980-04-28,1760.824531900597
AAPL,1980-04-29,2290.605150165755
AAPL,1980-04-30,626.303973934821
AAPL,1980-05-01,2921.2228988328784
AAPL,1980-05-02,1712.468769341976
AAPL,1980-05-03,2099.4836086870464
AAPL,1980-05-04,408.14669571404926
AAPL,1980-05-05,698.6931899630614
AAPL,1980-05-06,2250.163492539562
